"year","state","pop","hydro_gms","oxy_gms","fent_gms","unempl_rate","poverty_rate","snap_rate","medicaid_rate","gsp_per_cap","min_wage","death_rate","log_hydro","log_oxy","log_fent","log_death_rate"
2000,"AL",-0.239683972751199,-0.103700911691837,-0.0719898444827657,-0.0860287322254799,-0.739628670408577,0.194205918657137,-0.385733120831846,-0.623863272322485,-1.66180407402899,-1.02675399387471,-1.30840026387651,-0.39743451059707,-0.919286160766438,-0.923405302019425,-1.78700618212299
2001,"AL",-0.237370635483753,-0.103568623421793,-0.0719510063901328,-0.0860288523058686,-0.492875384058116,0.948859111819707,-0.316898997699211,-0.186311568233477,-1.61080186798265,-1.02675399387471,-1.24168551888578,-0.363766141566598,-0.83649449116647,-0.925099756197893,-1.62756242413574
2002,"AL",-0.235507068077632,-0.103222547845967,-0.0719320894912468,-0.0860172936805583,-0.133127657544151,0.555949634642081,-0.162827973259671,0.06299209786249,-1.51381532278445,-1.02675399387471,-1.26299215011003,-0.283719866203581,-0.80004387670548,-0.783853163536103,-1.67725790012845
2003,"AL",-0.232005566316248,-0.102885946098357,-0.0719140859524983,-0.0860059392348667,-0.072747930348931,0.688556020399203,-0.0337307151233369,0.0910239651003229,-1.40830212981431,-1.02675399387471,-1.31701498205668,-0.214954246421355,-0.767338981158701,-0.67575675208714,-1.80844981464925
2004,"AL",-0.227930106741144,-0.102555731604602,-0.0718965645526219,-0.0859947603739242,-0.227173722476775,1.33221569318445,0.0772917073015073,0.211329427642212,-1.16329686990704,-1.02675399387471,-1.00121322342512,-0.154395579257628,-0.737171059118124,-0.588293662770915,-1.13211033037131
2005,"AL",-0.222083397792001,-0.102239196094873,-0.0718802022934111,-0.0859839216228818,-0.830518105810847,1.20204090732515,0.352662879853659,0.289309079344097,-0.997778723812553,-1.02675399387471,-1.00469856742168,-0.101586478747305,-0.710335113594063,-0.516057943540654,-1.13856009334784
2006,"AL",-0.213229245658351,0.195571938295383,-0.0709787642078888,-0.0858760994018953,-1.05411371039573,0.481983753786819,0.26089083974309,0.110778351149996,-0.88053800665876,-1.02675399387471,-0.60736935181402,2.52416897011832,0.0182321728876336,-0.0924570709173749,-0.502129247287007
2007,"AL",-0.206666884930526,0.00221837348197595,-0.0702147805142437,-0.0858793167120716,-1.09706986865245,0.519961508353372,0.232833558335717,-0.129955428924396,-0.795011458815662,-1.02675399387471,-0.222880011967266,1.91083743601105,0.2948561039227,-0.101034229272804,-0.0217648051670525
2008,"AL",-0.199879040775883,-0.0163465540597526,-0.0693606532658509,-0.0858607887437894,-0.306631041868174,0.562285404405542,0.328467217425635,-0.0596560183839468,-0.780236985871787,-0.485893081499249,0.0882691412349256,1.79820179471188,0.500655047050388,-0.0535546264788871,0.303199601661768
2009,"AL",-0.193934178457136,-0.00384507987240233,-0.0611214796455069,-0.0858738730727634,2.20175084371442,1.13259126327949,0.807564792917854,0.131204213819892,-0.876641636213155,0.0549678308762082,0.191284072755846,1.87632836710514,1.29186495407031,-0.0866073628543906,0.401150996006883
